word1, word2, weight
party, hearty, 3
animal, party, 1
sewage, line, 1
deeply, light, 1
pale, light, 4
celebration, party, 89
blotch, spot, 15
defect, break, 1
freckle, spot, 21
prom, party, 2
typical, loser, 1
dj, party, 6
club, party, 8
valentine, day, 29
grinder, cheese, 2
lightswitch, light, 2
sore, never, 1
switzerland, swiss, 8
cake, drools, 1
light, lighter, 1
dance, party, 7
break, snap, 7
dream, catcher, 2
mambo, party, 1
divorce, break, 1
long, line, 2
bandage, sore, 2
bagels, cheese, 6
belt, line, 2
holiday, party, 3
pajamas, party, 8
informal, party, 3
celebrate, party, 89
slices, cheese, 19
asdfghjkl, loser, 1
sunlight, day, 10
cheddar, cheese, 179
shortcake, cake, 4
corny, cheese, 1
lcd, light, 4
suprise, unexpected, 4
coast, line, 8
split, break, 3
inspiration, dream, 5
political, rivalry, 1
major, loser, 2
campaign, loser, 1
office, party, 5
tangerine, dream, 20
dream, wish, 4
break, recess, 1
cheese, say, 8
communist, party, 20
graduation, day, 23
tonka, party, 1
tues, day, 30
crumb, cake, 23
idol, loser, 1
judgment, day, 80
titan, cheese, 1
judgement, day, 89
beem, light, 2
tempt, cake, 2
tension, break, 4
spot, pick, 2
blinding, light, 128
diffusion, light, 5
warehouse, party, 3
grilled, cheese, 53
losser, loser, 1
trust, break, 1
invite, party, 40
suprise, misspelled, 6
headache, sore, 2
cheesecake, cake, 4
sphere, cheese, 1
light, cheese, 1
light, cheese, 1
organized, loser, 1
repress, loser, 1
dearly, loser, 1
fangirl, loser, 1
arnie, loser, 1
injured, sore, 2
pleb, loser, 2
strings, line, 1
night, light, 3
patio, party, 1
masquerade, party, 13
admission, line, 1
burglar, cheese, 1
seem, dream, 1
smoke, sore, 1
celebrate, cake, 5
slices, cake, 10
snaps, break, 1
ambience, light, 5
sensual, spot, 1
lightning, cake, 1
party, beer, 3
fun, party, 6
dream, horny, 1
burnt, sore, 1
cheese, goodness, 1
bright, day, 3
heart, break, 8
tough, light, 1
political, racism, 1
christians, day, 1
weaver, dream, 14
shindig, party, 44
gathering, party, 6
fishing, line, 7
mozzarella, cheese, 89
dorks, loser, 3
plumb, line, 12
election, day, 22
dairy, cheese, 4
jake, cake, 2
lighter, light, 4
foggy, cheese, 1
cake, food, 6
light, weight, 3
burnt, cheese, 1
break, open, 2
dream, fantasm, 1
tunnel, light, 11
sleep, dream, 21
scatter, light, 1
sore, herpes, 2
vodka, party, 2
loser, lose, 1
beautiful, day, 2
political, garbage, 1
suprise, scare, 2
brie, cheese, 126
hamburgers, cheese, 9
decoration, party, 11
benefit, party, 2
daniel, day, 4
lamps, light, 63
que, line, 21
topping, cake, 20
intersection, light, 2
mag, light, 5
mixer, cake, 3
flashing, light, 52
afternoon, break, 3
puss, sore, 1
boner, loser, 1
latter, day, 15
sop, loser, 1
simulation, light, 1
mans, cake, 1
spick, spot, 1
wisconsin, cheese, 62
bunt, cake, 22
impossible, dream, 10
day, bright, 1
seventh, day, 15
rejection, loser, 4
hemp, line, 1
ate, cake, 1
asshole, loser, 1
rainy, day, 112
most, cake, 2
organization, party, 2
casual, light, 2
house, party, 9
cheese, penis, 1
dreamer, day, 22
cozy, cottage, 7
sore, tooth, 2
cottage, cheese, 75
pundits, political, 6
guest, party, 2
suprise, surprise, 11
throat, larynx, 4
retirement, party, 3
unbreakable, break, 3
columbus, day, 21
ravioli, cheese, 6
phone, line, 2
party, swinger, 1
squiggle, line, 47
backward, day, 2
match, light, 10
suns, day, 1
cottage, house, 24
ceremony, party, 3
cream, cake, 4
american, dream, 4
management, party, 1
mis, loser, 1
blanc, loser, 1
mask, party, 1
scourge, sore, 1
political, angle, 1
bleu, cheese, 53
foggy, day, 14
ouchie, sore, 7
lsd, light, 2
day, say, 1
aspire, dream, 22
weekends, break, 1
crutch, break, 1
impeachment, political, 1
grate, cheese, 79
curd, cheese, 29
spaceship, dream, 1
seam, line, 2
side, line, 22
blueprint, cheese, 1
lentil, cheese, 1
spackle, spot, 1
lozenge, throat, 57
pillow, dream, 1
cheese, puffs, 1
messiah, loser, 1
blinking, light, 18
whiz, cheese, 17
move, day, 1
bum, sore, 1
matthew, day, 1
fracture, break, 51
pain, sore, 3
cottage, miaow, 1
progression, party, 1
daydream, dream, 11
break, leg, 4
choke, throat, 5
rave, light, 1
rank, break, 1
greater, cheese, 3
loner, loser, 11
median, line, 8
tension, line, 1
ulcers, sore, 2
darks, light, 6
burgers, cheese, 13
acme, spot, 2
day, out, 1
float, light, 1
portion, cake, 2
solid, light, 1
urinal, cake, 24
conversion, light, 1
feta, cheese, 140
tackle, break, 1
locked, break, 1
strobe, light, 76
scab, sore, 6
kerry, political, 1
do, party, 1
tart, cake, 11
fudge, cake, 15
corporate, day, 1
minds, dream, 1
cheese, surrender, 1
desired, dream, 3
brownie, cake, 11
idiot, loser, 2
injury, sore, 2
political, idiots, 1
lights, light, 2
spot, see, 7
snap, break, 9
independant, party, 2
howie, day, 7
suprise, box, 1
coincidence, cheese, 1
cake, delicous, 1
esophagus, throat, 64
watts, light, 17
cable, break, 1
infestation, sore, 1
line, dancing, 1
diagonal, line, 48
specter, light, 1
flapjack, cake, 1
bun, cake, 1
daily, day, 2
party, alcohol, 7
campaign, political, 9
dream, dead, 1
cheese, yellow, 6
swiss, bank, 2
fanboy, loser, 1
jugular, throat, 7
tow, line, 1
iced, cake, 5
